类别,聚类编号,平均经度,平均纬度,推荐地址（粗略）
购物消费,39,104.079765,30.6577,四川省成都市锦江区书院街街道福兴街华敏・翰尊国际
购物消费,36,104.043106,30.716087,四川省成都市金牛区沙河源街道中环路金府路段金府机电城
购物消费,31,104.07657,30.653683,四川省成都市锦江区春熙路街道群光广场(东大街城守东大街段)
酒店住宿,18,104.08768,30.653702,四川省成都市锦江区锦官驿街道天仙桥北路朗御
购物消费,2,104.07304,30.654844,四川省成都市锦江区春熙路街道青石桥北街米瑞购物广场
购物消费,0,104.0441,30.703434,四川省成都市金牛区九里堤街道九锅一堂・重庆菜(金牛凯德广场店)凯德广场(金牛店)
购物消费,45,104.078545,30.658073,四川省成都市锦江区书院街街道蜀都大道总府路春熙路太古里步行街
餐饮美食,16,104.103134,30.669348,四川省成都市成华区猛追湾街道米罗缤纷(第五大道店)沙河电影院
购物消费,41,104.044876,30.701544,四川省成都市金牛区九里堤街道交桂路凯德广场(金牛店)
购物消费,25,104.05731,30.672983,四川省成都市青羊区草市街街道西大街新城市广场
购物消费,30,104.071556,30.653606,四川省成都市锦江区春熙路街道古卧龙桥街55号青石桥市场
购物消费,79,104.05219,30.684792,四川省成都市金牛区抚琴街道沙湾路汇龙湾广场-洛克中心
餐饮美食,63,104.09022,30.65431,四川省成都市成华区猛追湾街道滇味过桥米线(望平街店)蜜城
购物消费,67,104.0821,30.654087,四川省成都市锦江区锦官驿街道北纱帽街3号IFS国际金融中心
生活服务,17,104.0794,30.65596,四川省成都市锦江区春熙路街道香舍尔酒店科甲大厦
购物消费,17,104.0794,30.65596,四川省成都市锦江区春熙路街道香舍尔酒店科甲大厦
餐饮美食,25,104.05731,30.672983,四川省成都市青羊区草市街街道西大街新城市广场
餐饮美食,0,104.0441,30.703434,四川省成都市金牛区九里堤街道九锅一堂・重庆菜(金牛凯德广场店)凯德广场(金牛店)
餐饮美食,45,104.078545,30.658073,四川省成都市锦江区书院街街道蜀都大道总府路春熙路太古里步行街
酒店住宿,17,104.0794,30.65596,四川省成都市锦江区春熙路街道香舍尔酒店科甲大厦
餐饮美食,31,104.07657,30.653683,四川省成都市锦江区春熙路街道群光广场(东大街城守东大街段)
餐饮美食,17,104.0794,30.65596,四川省成都市锦江区春熙路街道香舍尔酒店科甲大厦
